"Distrito","Latitud","Longitud","Zoom"
"Arganzuela","40.398","-3.698","13.5"
"Barajas","40.479","-3.585","12.5"
"Carabanchel","40.3815","-3.736","13"
"Centro","40.418","-3.707","13.9"
"Chamartín","40.461","-3.678","13.0"
"Chamberí","40.437","-3.705","14.0"
"Ciudad Lineal","40.450","-3.665","12.4"
"Fuencarral - El Pardo","40.550","-3.760","11.0"
"Hortaleza","40.480","-3.640","12.5"
"Latina","40.390","-3.781","12.5"
"Moncloa - Aravaca","40.440","-3.768","12.2"
"Moratalaz","40.406","-3.644","13.8"
"Puente de Vallecas","40.384","-3.662","13.0"
"Retiro","40.408","-3.677","13.8"
"Salamanca","40.432","-3.676","13.8"
"San Blas - Canillejas","40.432","-3.592","12.5"
"Tetuán","40.461","-3.700","13.7"
"Usera","40.378","-3.704","13.5"
"Vicálvaro","40.391","-3.575","12.4"
"Villa de Vallecas","40.350","-3.621","12.2"
"Villaverde","40.344","-3.696","13.0"
